version,C1_1-JSD,C2_spearman,C3_cossim,CMVTS,JSD_vars,note
baseline,0.955892515625,0.8896062271062269,0.9485153655333092,0.9337934840418608,64,Uniform proxy for ID distribution
refined,0.9276496470588236,0.8896062271062269,0.9485153655333092,0.9224963366153902,68,Empirical proxy from telecom-CB data
