File,Source,Period,Records,Features,Role
Individual CB (File 09),AI Hub (dataSetSn=71792),2019–2022,"3,129,036",157,"Model development, Y variable"
Statista Reports,Statista Consumer Insights,2020–2022,34 indicators,"2 (KR, ID)",CosSim component (CMVTS)
