Variable (report),Column (AI Hub),Description,N,Mean,Std,Min,Median,Max,Missing%,ID proxy (%),ID source
comm_sns_22_1,R3M_ITRT_COMM_SNS,SNS community interest score,"2,640,000",1.017,0.807,0,1.0,3,0.0,70.0,Social media penetration Indonesia 2021
shc_236_222Q,CD_USE_AMT,e-Commerce usage amount,"2,640,000",5475.123,6700.015,0,3555.0,105858,0.0,57.0,eCommerce penetration Indonesia 2021
shop_social_22_2,R3M_ITRT_SHOP_SOCIAL,Social commerce interest score,"2,640,000",0.739,0.644,0,1.0,2,0.0,57.0,eCommerce penetration Indonesia 2021
shop_jikgu_22_2,R3M_ITRT_SHOP_JIKGU,Overseas direct purchase interest,"2,640,000",0.355,0.479,0,0.0,1,0.0,19.0,Cross-border shopping Indonesia 2021
