metric,value,target
AUC_train,0.9808296631908885,—
AUC_test,0.9790599898590779,>=0.80
KS_train,0.88895101171459,—
KS_test,0.8838024713048804,>=0.50
PSI,0.09685204496580259,<0.25
C_best,0.0005,—
