grade,score_min,score_max,description,approval,indonesia_note
A,750,999,Very low risk,Auto approve,Equivalent to KR Grade 1-2
B,650,749,Low risk,Approve,Equivalent to KR Grade 3-4
C,550,649,Moderate risk,Conditional approve,Equivalent to KR Grade 5-6
D,450,549,High risk,Manual review,Equivalent to KR Grade 7-8
E,0,449,Very high risk,Decline,Equivalent to KR Grade 9-10
