grade,count,bad_rate,avg_score,pct
A,523956,0.004,897.0,55.8
B,219821,0.017,694.1,23.4
C,122097,0.124,603.8,13.0
D,36003,1.569,506.0,3.8
E,36834,11.009,363.6,3.9
