subset,n,cossim,cmvts
All indicators (baseline),34,0.9485,0.9338
Excl. Country Overview,30,0.9438,0.9324
Excl. eCommerce,15,0.9407,0.9314
Excl. Tourism,33,0.9599,0.9372
Excl. Economics,32,0.9413,0.9316
Excl. Health,26,0.9517,0.9347
